Entry	Entry name	Gene names	Organism	Post-translational modification	3D	Cross-reference (EMBL)	Cross-reference (GenBank)	Cross-reference (GeneID)	Taxonomic lineage (all)
P02189	MYG_PIG	MB	Sus scrofa (Pig)		X-ray crystallography (17)	M14433;		397467;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Suina, Suidae (pigs), Sus, Sus scrofa (Pig)
A0A1K0FU49	A0A1K0FU49_HUMAN	GLNG MB hCG_41530	Homo sapiens (Human)			CH471095;LT548106;		4151;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)
A0A024R1G3	A0A024R1G3_HUMAN	MB hCG_41530	Homo sapiens (Human)			CH471095;CH471095;			cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)
A0A250XVB6	A0A250XVB6_CASCN	MB	Castor canadensis (American beaver)			GFFV01004648;		109692956;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Castorimorpha (beavers and others), Castoridae (beavers), Castor, Castor canadensis (American beaver)
A0A6P3EQL6	A0A6P3EQL6_OCTDE	Mb	Octodon degus (Degu) (Sciurus degus)					101583167;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Hystricomorpha, Octodontidae, Octodon, Octodon degus (Degu) (Sciurus degus)
A0A091D6D3	A0A091D6D3_FUKDA	H920_20184	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)			KN125407;		104856489;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Hystricomorpha, Bathyergidae (African mole-rats), Fukomys, Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)
A0A0D9R744	A0A0D9R744_CHLSB	MB	Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)					103223234;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Cercopithecinae, Chlorocebus, Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)
A0A2K5YL59	A0A2K5YL59_MANLE	MB	Mandrillus leucophaeus (Drill) (Papio leucophaeus)					105538928;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Cercopithecinae, Mandrillus (forest baboons), Mandrillus leucophaeus (Drill) (Papio leucophaeus)
A0A6G1B1B0	A0A6G1B1B0_CROCR	Mb FOF47_R17655	Crocuta crocuta (Spotted hyena)			VOAJ01002723;			cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Carnivora, Feliformia, Hyaenidae (hyaenas), Crocuta, Crocuta crocuta (Spotted hyena)
G3R764	G3R764_GORGO	MB	Gorilla gorilla gorilla (Western lowland gorilla)					101153514;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Gorilla, Gorilla gorilla (western gorilla), Gorilla gorilla gorilla (Western lowland gorilla)
A0A2K6NL17	A0A2K6NL17_RHIRO	MB	Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)					104682471;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Colobinae, Rhinopithecus, Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana)
R9RZM3	R9RZM3_URSMA	Mb MB	Ursus maritimus (Polar bear) (Thalarctos maritimus)			KC524762;		103676437;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Carnivora, Caniformia, Ursidae (bears), Ursus, Ursus maritimus (Polar bear) (Thalarctos maritimus)
A0A1K0GGA6	A0A1K0GGA6_MACMU	EGK_02983	Macaca mulatta (Rhesus macaque)			CM001262;		693269;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Cercopithecinae, Macaca (macaques), Macaca mulatta (Rhesus macaque)
G7N3Q2	G7N3Q2_MACMU	GLNG	Macaca mulatta (Rhesus macaque)			LT548131;		693269;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Cercopithecinae, Macaca (macaques), Macaca mulatta (Rhesus macaque)
R9RZ90	R9RZ90_SCAOR	Mb	Scapanus orarius (Coast mole)			KC524746;			cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Eulipotyphla (hedgehogs, shrews, moles and others), Talpidae (moles, shrew-moles, and desmans), Scapanus, Scapanus orarius (Coast mole)
A0A2J8QPD0	A0A2J8QPD0_PANTR	CK820_G0024652	Pan troglodytes (Chimpanzee)			NBAG03000026;NBAG03000026;			cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Pan (chimpanzees), Pan troglodytes (Chimpanzee)
A0A663D630	A0A663D630_PANTR	CK820_G0024652	Pan troglodytes (Chimpanzee)			NBAG03000026;NBAG03000026;NBAG03000026;NBAG03000026;			cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Pan (chimpanzees), Pan troglodytes (Chimpanzee)
F6PMG4	F6PMG4_CALJA	GLNG MB	Callithrix jacchus (White-tufted-ear marmoset)			GAMT01003738;LT548143;		100414708;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Platyrrhini (New World monkeys), Cebidae, Callitrichinae (marmosets and tamarins), Callithrix, Callithrix, Callithrix jacchus (White-tufted-ear marmoset)
A0A2J8QPC2	A0A2J8QPC2_PANTR	CK820_G0024652	Pan troglodytes (Chimpanzee)			NBAG03000026;			cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Pan (chimpanzees), Pan troglodytes (Chimpanzee)
A0A2J8QPD7	A0A2J8QPD7_PANTR	CK820_G0024652	Pan troglodytes (Chimpanzee)			NBAG03000026;			cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Pan (chimpanzees), Pan troglodytes (Chimpanzee)
A0A2J8QPB9	A0A2J8QPB9_PANTR	CK820_G0024652	Pan troglodytes (Chimpanzee)			NBAG03000026;			cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Pan (chimpanzees), Pan troglodytes (Chimpanzee)
A0A2K5NML8	A0A2K5NML8_CERAT	MB	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)					105575787;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Cercopithecinae, Cercocebus, Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)
A0A2J8QPC5	A0A2J8QPC5_PANTR	GLNG	Pan troglodytes (Chimpanzee)			LT548112;			cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Pan (chimpanzees), Pan troglodytes (Chimpanzee)
R9S070	R9S070_DUGDU	Mb	Dugong dugon (Dugong) (Trichechus dugon)			KC524735;KC524736;			cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Afrotheria, Sirenia (manatees and dugongs (seacows)), Dugongidae (dugong and sea cow), Dugong, Dugong dugon (Dugong) (Trichechus dugon)
A0A2R9BL13	A0A2R9BL13_PANPA	MB	Pan paniscus (Pygmy chimpanzee) (Bonobo)					100979053;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Pan (chimpanzees), Pan paniscus (Pygmy chimpanzee) (Bonobo)
A0A6I9IAX0	A0A6I9IAX0_VICPA	MB	Vicugna pacos (Alpaca) (Lama pacos)						cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Tylopoda, Camelidae, Vicugna, Vicugna pacos (Alpaca) (Lama pacos)
B0QYF8	B0QYF8_HUMAN	MB	Homo sapiens (Human)						cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)
A0A2K6DJM1	A0A2K6DJM1_MACNE	MB	Macaca nemestrina (Pig-tailed macaque)					105464533;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Cercopithecinae, Macaca (macaques), Macaca nemestrina (Pig-tailed macaque)
A0A2K5JJ98	A0A2K5JJ98_COLAP	MB	Colobus angolensis palliatus (Peters' Angolan colobus)					105525488;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Colobinae, Colobus (black-and-white colobus monkeys), Colobus angolensis (Angolan colobus), Colobus angolensis palliatus (Peters' Angolan colobus)
A0A2K6M9S1	A0A2K6M9S1_RHIBE	MB	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)					108540860;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Colobinae, Rhinopithecus, Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)
G7PFA9	G7PFA9_MACFA	EGM_02630	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)			CM001285;		102132612;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Cercopithecinae, Macaca (macaques), Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
R9RZA9	R9RZA9_TRIMA	Mb	Trichechus manatus (Caribbean manatee) (West Indian manatee)			KC524769;			cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Afrotheria, Sirenia (manatees and dugongs (seacows)), Trichechidae (manatees), Trichechus, Trichechus manatus (Caribbean manatee) (West Indian manatee)
A0A3Q7VSZ0	A0A3Q7VSZ0_URSAR	MB	Ursus arctos horribilis						cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Carnivora, Caniformia, Ursidae (bears), Ursus, Ursus arctos (Brown bear) (Grizzly bear), Ursus arctos horribilis
A0A2T4CW89	A0A2T4CW89_9CYAN	C9925_02490	cyanobacterium G8-9			PYVJ01000209;			cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, unclassified Cyanobacteria, cyanobacterium G8-9
F2Z2F1	F2Z2F1_HUMAN	MB	Homo sapiens (Human)						cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)
UPI000C2AAD7E
UPI000C29E88A
UPI00136447F5
UPI000CEFDAE9
